Concept,Consensus,Shared_Factors_GCD,Extra_Factors_all-MiniLM-L6-v2,Extra_Factors_paraphrase-MiniLM-L3-v2
Umbria,False,"[2, 3, 29]","[7, 13, 19]","[5, 17]"
Kuenlun,False,"[7, 11, 19]","[2, 3]","[5, 13, 17, 29]"
Aristarchus,False,"[5, 7, 11, 17, 29]","[2, 3]",[19]
windward,False,"[2, 3, 19, 29]",[17],[]
greatcoat,False,"[2, 3, 5]","[13, 19]",[]
coherence,False,"[2, 11, 29]",[],"[3, 5, 13, 17, 19, 23]"
Piute,False,"[5, 11, 13, 29]","[3, 7, 19]",[]
thirtieth,False,"[2, 3, 11, 19]","[7, 13, 17]",[]
altazimuth,False,"[5, 13, 17, 29]","[3, 7, 11, 19]",[]
bulghur,False,"[3, 29]",[2],"[5, 11, 17, 19]"
clipper,False,"[3, 5, 11, 19, 29]","[2, 13]",[23]
glareole,False,"[2, 3, 19, 29]",[5],[]
rube,False,"[3, 5, 11, 19]","[7, 13, 29]",[2]
macon,False,"[3, 5]","[7, 13, 19]","[2, 11]"
patter,False,"[2, 5]","[3, 7, 23, 29]",[19]
scammonyroot,False,"[2, 17]","[3, 11]","[5, 19]"
labourer,False,"[5, 17]","[2, 3, 7, 11, 19, 29]",[]
gobbledygook,False,"[11, 17, 23]","[2, 3]","[5, 7, 13, 19, 29]"
fitment,False,"[3, 5, 13, 29]","[2, 17, 19]",[7]
realisation,False,"[5, 11, 17, 19, 29]","[2, 7]",[]
Ioway,False,"[3, 17, 19]","[2, 5]","[13, 29]"
beard,False,"[2, 3, 5, 13, 17, 29]",[],"[11, 19]"
Anatolia,False,"[5, 7, 11, 29]",[17],"[3, 19, 23]"
caboose,False,"[2, 3, 5, 29]",[19],"[11, 17]"
Stellite,False,"[3, 5, 29]",[],[11]
mammalian,False,"[5, 11]",[3],"[2, 7, 19, 29]"
uninterestingness,False,"[3, 11, 17, 19, 29]",[23],"[2, 5]"
intifadah,False,[2],[],"[3, 5, 11, 17, 19]"
woodscrew,False,[5],"[2, 3, 29]","[11, 19, 23]"
Sabal,False,"[2, 3, 5]",[],"[11, 17, 19]"
pisser,False,"[3, 5, 11, 17, 29]",[2],[23]
fluoride,False,[3],"[2, 5, 17]","[13, 19, 23, 29]"
sago,False,"[3, 11]","[5, 7, 29]","[2, 19]"
aztreonam,False,"[2, 3, 17, 29]","[5, 13]","[19, 23]"
smother,False,"[2, 3, 5, 13]",[],"[7, 11, 17, 19, 23, 29]"
asclepiad,False,"[13, 17, 29]","[2, 3, 5, 11]","[7, 19, 23]"
pension,False,[19],"[2, 3, 7, 11]","[5, 13, 17]"
neatness,False,"[3, 5, 11, 13, 19, 29]",[23],[]
heliozoan,False,"[3, 5, 17]","[2, 11, 13, 19]","[7, 23, 29]"
undershirt,False,"[2, 3, 5, 11, 17, 19, 29]",[],"[13, 23]"
ortolan,False,[2],"[3, 11, 13]","[17, 19, 29]"
obelion,False,"[5, 13, 19, 29]","[2, 11]","[3, 7]"
wiretapper,False,"[3, 5, 13, 29]","[19, 23]",[17]
Umbelliferae,False,"[2, 7, 13, 19]","[3, 29]","[5, 11]"
leaning,False,"[3, 13, 19, 29]",[],[5]
Chancellorsville,False,"[3, 7, 13, 17]",[19],[]
outfitter,False,"[2, 3, 5, 19, 23]",[13],"[7, 29]"
glint,False,"[3, 5, 19, 29]","[11, 13]","[2, 23]"
Aleutian,False,"[2, 3, 7, 23]","[11, 13, 29]",[5]
DRMS,False,"[3, 5, 19, 23, 29]",[13],"[2, 17]"
Bolshevism,False,"[2, 3, 5, 19]","[11, 29]",[17]
sangoma,False,"[2, 7, 17]","[5, 11, 29]","[3, 13, 19, 23]"
broiling,False,"[3, 5]",[29],"[11, 13, 17, 23]"
Triturus,False,"[3, 5, 11, 29]","[2, 7, 13]","[17, 23]"
accompanist,False,"[3, 5, 17, 29]","[2, 11, 13]","[19, 23]"
cryoscope,False,"[2, 3, 17, 29]",[13],[19]
Blighia,False,"[3, 13, 17]","[2, 11, 29]","[5, 23]"
pleximeter,False,[3],"[2, 13, 29]","[5, 19]"
step,False,"[3, 17]",[7],"[2, 5, 11, 19]"
Angraecum,False,"[3, 5, 7, 29]",[],"[11, 13, 17]"
alembic,False,"[2, 3, 13, 17, 29]","[11, 19]","[5, 23]"
Hunt,False,"[2, 3, 11]","[7, 13, 29]","[5, 17]"
drifter,False,"[13, 19, 29]","[2, 3, 7]",[11]
weeping,False,"[2, 3, 5, 7, 19, 29]",[],"[13, 17]"
PTSD,False,"[3, 7, 11, 19, 29]","[2, 17]",[]
subjoining,False,[5],"[3, 7, 11]","[19, 29]"
lunette,False,"[3, 5, 19, 29]",[],"[17, 23]"
teetotaller,False,"[2, 3, 5, 29]",[11],[19]
bondswoman,False,"[2, 11, 19]","[3, 13]",[17]
advancer,False,"[2, 3, 5, 7, 19]","[17, 29]","[11, 23]"
knotgrass,False,"[5, 23, 29]","[3, 13]","[2, 7, 11, 19]"
Oceanites,False,[],"[3, 7, 29]","[11, 13, 19]"
fascicle,False,"[5, 13, 17, 29]","[2, 3]","[7, 19]"
Savara,False,"[3, 5, 7]",[19],"[2, 23]"
anorchism,False,"[2, 3, 5, 17, 19, 29]","[7, 11, 13, 23]",[]
stature,False,"[3, 11, 13, 19, 29]",[2],"[5, 7]"
tat,False,"[3, 5, 19, 29]","[7, 17]",[]
LEM,False,"[3, 5, 19]",[13],"[2, 11]"
sermon,False,"[2, 3, 11, 13, 17]","[7, 19]",[5]
aroid,False,[29],"[2, 3, 5, 7, 11]","[13, 19]"
tuna,False,"[5, 29]",[3],"[2, 13, 17, 19]"
Dracunculidae,False,"[11, 13, 19]",[3],"[5, 17, 23, 29]"
snuff,False,"[2, 5, 13, 29]","[3, 19]",[]
path,False,"[2, 3, 7, 11, 17, 19, 29]",[],"[5, 13, 23]"
breakstone,False,"[3, 5, 13, 17, 29]",[19],"[2, 11]"
veery,False,"[2, 5, 13, 19]","[7, 11]",[29]
ricochet,False,"[2, 3, 13, 19]","[23, 29]","[7, 11]"
dinnerware,False,"[2, 11, 19, 29]","[5, 23]","[13, 17]"
Pinnotheridae,False,"[7, 11, 19, 29]",[],"[2, 5]"
France,False,"[2, 3, 5, 17, 19, 29]","[7, 13]",[]
manslayer,False,"[2, 5, 11, 29]","[3, 19]",[7]
eyeglasses,False,"[2, 5, 19, 29]","[3, 13]",[]
hex,False,"[5, 29]","[2, 3]","[17, 19]"
margarine,False,"[2, 3, 5, 7, 11]",[],[19]
liquefaction,False,"[5, 29]",[13],[23]
welding,False,"[3, 29]","[13, 23]","[2, 5, 17, 19]"
Boer,False,"[3, 5, 7, 17]","[13, 19]",[2]
subcontinent,False,"[3, 5, 19, 29]","[2, 17]",[7]
globe,False,"[2, 3, 5, 19, 29]","[13, 17]",[]
cheering,False,"[3, 7, 13, 29]",[],[2]
Impressionism,False,"[3, 5, 17, 19]","[2, 13, 23]",[29]
conductivity,False,[],[23],"[2, 17]"
CV,False,"[3, 19]","[7, 13]","[2, 5]"
bouillon,False,"[2, 3, 7]","[5, 11, 13, 29]",[]
succinctness,False,"[2, 3, 5]","[17, 29]","[11, 23]"
pronucleus,False,"[11, 13, 29]",[],"[2, 3, 5, 17, 23]"
trapezoid,False,"[11, 29]","[3, 17]",[19]
Sept,False,"[2, 3, 11, 13, 17]",[],[5]
swelling,False,"[13, 19, 29]","[5, 11]","[3, 7]"
Kalki,False,"[11, 29]","[2, 3]","[5, 17, 19, 23]"
woad,False,"[2, 3, 5, 19, 23]",[],[11]
brittlebush,False,"[5, 19]","[2, 3]","[13, 17, 29]"
chaetodon,False,"[3, 5, 7]","[2, 11, 19]",[29]
muesli,False,"[2, 3, 5, 19]",[29],"[11, 23]"
Sonora,False,"[3, 7, 13, 19, 29]",[5],[]
hardpan,False,"[3, 5, 29]","[19, 23]",[17]
Physeter,False,"[5, 23, 29]","[2, 3]","[11, 17, 19]"
bottomland,False,"[2, 3, 7, 11]",[17],"[13, 19, 29]"
blindfold,False,"[2, 5, 11, 19, 29]","[3, 13]",[]
Constantina,False,"[2, 3, 5, 7]","[11, 13, 19, 29]",[17]
Faulkner,False,"[2, 19]","[3, 7, 29]",[5]
healer,False,"[5, 7, 11]",[13],"[2, 3, 23]"
smiler,False,"[5, 29]","[2, 7, 13]","[3, 19]"
mezereon,False,"[2, 3, 5, 13, 17, 19]","[7, 11]",[29]
Haematopodidae,False,"[2, 7, 11, 13]","[5, 29]","[17, 19]"
basidiocarp,False,"[3, 5, 11, 13]",[29],[17]
urate,False,"[2, 3, 11, 29]","[5, 7, 23]","[17, 19]"
Evenki,False,"[2, 17, 29]","[13, 23]","[5, 7, 19]"
ionization,False,[23],[5],"[11, 13, 17, 29]"
malediction,False,[29],"[2, 3, 11, 19]","[5, 13, 17]"
sandstorm,False,"[2, 3, 17, 19, 29]",[13],"[7, 11, 23]"
angiopathy,False,"[3, 13, 17, 29]","[2, 5, 19]","[7, 11]"
Aepyornidae,False,"[11, 13, 29]","[5, 7]","[17, 19]"
doubtfulness,False,"[3, 5, 17, 29]","[11, 19]",[]
pinchbeck,False,"[2, 3, 19]","[11, 29]","[5, 13]"
probation,False,"[3, 13]",[19],"[2, 5, 29]"
ophiolatry,False,"[2, 3, 13, 29]",[11],[17]
Calliope,False,"[3, 5, 29]","[13, 17, 19]",[11]
