Concept 1,Concept 2,Dist. in all-MiniLM-L6-v2,Dist. in paraphrase-MiniLM-L3-v2,Chain in all-MiniLM-L6-v2,Chain in paraphrase-MiniLM-L3-v2
ADD,cephaloglycin,1,2,ADD ➡️ cephaloglycin,ADD ➡️ Umbria ➡️ cephaloglycin
ADD,oxidizer,1,2,ADD ➡️ oxidizer,ADD ➡️ Umbria ➡️ oxidizer
ADD,obeisance,1,2,ADD ➡️ obeisance,ADD ➡️ Umbria ➡️ obeisance
ADD,catabiosis,2,1,ADD ➡️ Umbria ➡️ catabiosis,ADD ➡️ catabiosis
ADD,Pithecellobium,2,1,ADD ➡️ Umbria ➡️ Pithecellobium,ADD ➡️ Pithecellobium
Abecedarian,platelet,1,2,Abecedarian ➡️ platelet,Abecedarian ➡️ Umbria ➡️ platelet
Abecedarian,redpoll,1,2,Abecedarian ➡️ redpoll,Abecedarian ➡️ Umbria ➡️ redpoll
Abecedarian,chalcanthite,1,2,Abecedarian ➡️ chalcanthite,Abecedarian ➡️ Umbria ➡️ chalcanthite
Abecedarian,debauchee,1,2,Abecedarian ➡️ debauchee,Abecedarian ➡️ Umbria ➡️ debauchee
Abecedarian,bulletin,1,2,Abecedarian ➡️ bulletin,Abecedarian ➡️ Umbria ➡️ bulletin
Abecedarian,cadenza,1,2,Abecedarian ➡️ cadenza,Abecedarian ➡️ Umbria ➡️ cadenza
Abecedarian,graylag,1,2,Abecedarian ➡️ graylag,Abecedarian ➡️ flub ➡️ graylag
Abecedarian,dose,1,2,Abecedarian ➡️ dose,Abecedarian ➡️ Umbria ➡️ dose
Abecedarian,corbel,1,2,Abecedarian ➡️ corbel,Abecedarian ➡️ Umbria ➡️ corbel
Abecedarian,hemostat,1,2,Abecedarian ➡️ hemostat,Abecedarian ➡️ Umbria ➡️ hemostat
Abecedarian,mapmaking,2,1,Abecedarian ➡️ Umbria ➡️ mapmaking,Abecedarian ➡️ mapmaking
Abecedarian,mechanisation,2,1,Abecedarian ➡️ Umbria ➡️ mechanisation,Abecedarian ➡️ mechanisation
Acropora,metabolite,1,2,Acropora ➡️ metabolite,Acropora ➡️ Hannover ➡️ metabolite
Acropora,amelogenesis,2,1,Acropora ➡️ flub ➡️ amelogenesis,Acropora ➡️ amelogenesis
Actinozoa,graylag,1,2,Actinozoa ➡️ graylag,Actinozoa ➡️ flub ➡️ graylag
Actinozoa,ionization,2,1,Actinozoa ➡️ archiannelid ➡️ ionization,Actinozoa ➡️ ionization
Actinozoa,ectomorphy,2,1,Actinozoa ➡️ Umbria ➡️ ectomorphy,Actinozoa ➡️ ectomorphy
Actinozoa,monohydrate,2,1,Actinozoa ➡️ archiannelid ➡️ monohydrate,Actinozoa ➡️ monohydrate
Actinozoa,roentgenogram,2,1,Actinozoa ➡️ Umbria ➡️ roentgenogram,Actinozoa ➡️ roentgenogram
Actinozoa,float,2,1,Actinozoa ➡️ Umbria ➡️ float,Actinozoa ➡️ float
Actinozoa,Megalosauridae,2,1,Actinozoa ➡️ Umbria ➡️ Megalosauridae,Actinozoa ➡️ Megalosauridae
Actinozoa,Hydrocharitaceae,2,1,Actinozoa ➡️ Umbria ➡️ Hydrocharitaceae,Actinozoa ➡️ Hydrocharitaceae
Actinozoa,ultracentrifugation,2,1,Actinozoa ➡️ Umbria ➡️ ultracentrifugation,Actinozoa ➡️ ultracentrifugation
Actinozoa,alchemist,2,1,Actinozoa ➡️ Umbria ➡️ alchemist,Actinozoa ➡️ alchemist
Actinozoa,fundamentals,2,1,Actinozoa ➡️ Umbria ➡️ fundamentals,Actinozoa ➡️ fundamentals
Actinozoa,isomerase,2,1,Actinozoa ➡️ Umbria ➡️ isomerase,Actinozoa ➡️ isomerase
Actinozoa,Chytridiomycetes,2,1,Actinozoa ➡️ archiannelid ➡️ Chytridiomycetes,Actinozoa ➡️ Chytridiomycetes
Actinozoa,Phyllocladaceae,2,1,Actinozoa ➡️ Umbria ➡️ Phyllocladaceae,Actinozoa ➡️ Phyllocladaceae
Actinozoa,monosaccharide,2,1,Actinozoa ➡️ archiannelid ➡️ monosaccharide,Actinozoa ➡️ monosaccharide
Actinozoa,fastness,2,1,Actinozoa ➡️ Umbria ➡️ fastness,Actinozoa ➡️ fastness
Actinozoa,stylostixis,2,1,Actinozoa ➡️ Umbria ➡️ stylostixis,Actinozoa ➡️ stylostixis
Actinozoa,fraxinella,2,1,Actinozoa ➡️ Umbria ➡️ fraxinella,Actinozoa ➡️ fraxinella
Actinozoa,biometry,2,1,Actinozoa ➡️ Umbria ➡️ biometry,Actinozoa ➡️ biometry
Actinozoa,petrology,2,1,Actinozoa ➡️ archiannelid ➡️ petrology,Actinozoa ➡️ petrology
Acular,Salinger,1,2,Acular ➡️ Salinger,Acular ➡️ Umbria ➡️ Salinger
Acular,Lendl,1,2,Acular ➡️ Lendl,Acular ➡️ Umbria ➡️ Lendl
Acular,gramophone,1,2,Acular ➡️ gramophone,Acular ➡️ Umbria ➡️ gramophone
Acular,Polychaeta,1,2,Acular ➡️ Polychaeta,Acular ➡️ Umbria ➡️ Polychaeta
Acular,cracklings,1,2,Acular ➡️ cracklings,Acular ➡️ Umbria ➡️ cracklings
Acular,bilingualism,1,2,Acular ➡️ bilingualism,Acular ➡️ Umbria ➡️ bilingualism
